inglizcha	uzbekcha
I	Men	
the	The	
to	ga	
’s	Ning	
a	a	
it	u	
’t	T	
that	bu	
and	va	
of	ning	
what	nima	
in	yilda	
me	men	
is	bu	
we	biz	
this	bu	
he	u	
on	kuni	
for	uchun	
my	mening	
’m	M	
your	sizning	
don’t	qilmang	
have	bor	
do	qil	
’re	Qayta	
no	yo'q	
be	bo'lishi	
know	bilish	
was	edi	
not	emas	
can	mumkin	
are	bor	
all	barchasi	
with	bilan	
just	faqat	
get	olish	
here	bu yerda	
but	lekin	
’ll	'Ll	
there	Mana	
so	shunday	
they	ular	
right	to'g'ri	
like	kabi	
out	chiqib	
go	boring	
she	u	
up	yuqoriga	
about	haqida	
if	agar	
him	uni	
got	bor	
oh	oh	
at	da	
now	hozir	
come	kel	
one	bitta	
How	Qanday	
well	yaxshi	
yeah	ha	
her	uni	
want	xohlamoq	
think	o'ylang	
good	yaxshi	
see	qarang	
let	ruxsat bering	
did	qildi	
why	nima uchun	
who	JSSV	
as	kabi	
his	uning	
will	iroda	
going	ketmoqda	
from	dan	
when	qachon	
back	orqaga	
okay	xop	
yes	ha	
gonna	gonna	
'd	d	
time	vaqt		
look	qarash		
take	olish		
an	an		
man	kishi		
where	qayerda		
them	ularni		
would	bo'lardi	
been	bo'ldi	
some	biroz	
hey	hey	
tell	ayt	
or	yoki	
us	Biz	
had	bor edi	
were	edi	
say	demoq	
could	mumkin edi	
didn't	qilmadi	
something	nimadur	
really	haqiqatan ham	
down	pastga	
then	keyin	
little	biroz	
way	yo'l	
our	bizning	
make	qilish	
too	ham	
never	hech qachon	
by	tomonidan	
over	ustida	
more	Ko'proq	
need	kerak	
mean	anglatadi	
very	juda	
off	yopiq	
Mr.	Janob.	
sorry	uzr	
give	berish	
has	bor	
thank	rahmat	
love	sevgi	
said	dedi	
am	am	
people	odamlar	
please	Iltimos	
sure	aniq	
any	har qanday	
thing	narsa	
only	faqat	
because	chunki	
two	ikkitasi	
should	kerak	
doing	qilish	
much	ko'p	
sir	janob	
maybe	balki	
help	Yordam	
anything	har qanday narsa	
these	bular	
God	Xudo	
even	hatto	
night	kecha	
call	qo'ng'iroq qiling	
talk	gapirish	
nothing	hech narsa	
into	ichiga	
first	birinchi	
find	topmoq	
wait	Kutmoq	
put	qo'yish	
great	ajoyib	
thought	deb o'yladi	
day	kun	
work	ish	
life	hayot	
before	oldin	
better	yaxshiroq	
again	yana	
still	hali ham	
home	uy	
guy	yigit	
won	yutuq	
those	o'sha	
than	dan	
around	atrofida	
other	boshqa	
away	uzoqda	
new	yangi	
last	oxirgi	
uh	uh	
ever	har doim	
stop	To'xta	
keep	saqlamoq	
told	aytdi	
must	kerak	
things	narsalar	
big	katta	
after	keyin	
long	uzoq	
does	qiladi	
always	har doim	
their	ularning	
everything	hamma narsa	
nice	yaxshi	
name	ism	
money	pul	
doesn't	emas	
guys	Yigitlar	
feel	his qilish	
believe	ishon	
thanks	rahmat	
old	eski	
place	joy	
fine	yaxshi	
kind	mehribon	
isn't	emas	
hello	Salom	
lot	ko'p	
years	yil	
made	qilingan	
leave	qoldiring	
hi	salom	
girl	qiz	
hear	eshitish	
father	ota	
through	orqali	
every	har bir	
360	360	
words equal	so'zlar teng	
75%	75%	
of all speech	barcha nutq	
2,700	2.700	
90%	90%	
words equal	so'zlar teng	
of all speech	barcha nutq	
bad	yomon	
Listen	Tinglang	
remember	eslayman	
three	uchta	
boy	bola	
coming	kelmoqda	
wrong	noto'g'ri	
might	mumkin	
stay	qolish	
house	uy	
may	mumkin	
baby	bolam	
another	boshqa	
OK	OK	
dad	ota	
gotta	kerak	
wanna	istayman	
wanted	xohlagan	
enough	yetarli	
talking	gaplashish	
happened	sodir bo'ldi	
show	ko'rsatish	
course	albatta	
being	bo'lish	
care	g'amxo'rlik	
done	amalga oshirildi	
getting	olish	
mind	aql	
left	chap	
ask	so'rang	
car	mashina	
understand	tushunish	
mother	Ona	
which	qaysi	
try	harakat qilib ko'ring	
shit	bok	
hell	jahannam	
Miss	Miss	
came	keldi	
wouldn't	qilmasdi	
own	Shaxsiy	
world	dunyo	
guess	taxmin qilish	
next	Keyingi	
kill	o'ldirmoq	
else	boshqa	
dead	o'lik	
trying	harakat qilmoqda	
someone	kimdir	
real	haqiqiy	
room	xona	
morning	ertalab	
huh	ha	
hold	tutmoq	
ain't	emas	
woman	ayol	
yourself	o'zingiz	
today	Bugun	
looking	qarab	
wasn't	emas edi	
mom	onam	
friend	do'stim	
move	harakat qilish	
same	bir xil	
job	ish	
tonight	bugun tunda	
went	ketdi	
son	o'g'il	
best	eng yaxshi	
saw	ko'rdim	
found	topildi	
pretty	chiroyli	
ready	tayyor	
heard	heard	
whole	butun	
seen	ko'rilgan	
together	birgalikda	
fuck	fuck	
minute	daqiqa	
men	erkaklar	
head	bosh	
matter	materiya	
haven	jannat	
knew	knew	
excuse	uzr	
many	ko'p	
idea	idea	
without	holda	
play	play	
family	oila	
meet	uchrashmoq	
most	eng	
run	yugurish	
while	while	
wife	wife	
once	once	
live	live	
somebody	kimdir	
everybody	everybody	
used	used	
use	use	
myself	myself	
took	oldi	
yet	hali	
start	start	
called	deb nomlangan	
couldn't	couldn't	
kid	kid	
tomorrow	tomorrow	
happy	baxtli	
school	school	
problem	problem	
watch	tomosha qiling	
bring	olib kelish	
fucking	fucking	
actually	actually	
business	business	
says	says	
hope	hope	
open	ochiq	
already	already	
since	beri	
looks	ko'rinadi	
sit	o'tirish	
Mrs.	Honim.	
cause	cause	
alone	alone	
hard	hard	
wants	istaydi	
stuff	stuff	
turn	turn	
days	kunlar	
friends	do'stlar	
until	gacha	
few	oz	
kids	bolalar	
honey	honey	
Dr.	Dr.	
gone	gone	
both	both	
door	eshik	
later	later	
saying	saying	
such	such	
killed	o'ldirilgan	
having	having	
face	yuz	
worry	worry	
ago	ago	
five	five	
second	second	
brother	brother	
damn	damn	
case	ish	
thinking	thinking	
probably	ehtimol	
beautiful	beautiful	
hand	qo'l	
check	tekshirish	
year	year	
forget	unut	
hit	hit	
lost	lost	
minutes	daqiqa	
crazy	aqldan ozgan	
late	kech	
phone	telefon	
Nobody	Hech kim	
end	oxiri	
easy	oson	
doctor	shifokor	
Shut	O'chir	
under	ostida	
part	qism	
deal	bitim	
die	die	
soon	tez orada	
four	to'rt	
anyone	har kim	
pay	pay	
happen	sodir bo'lmoq	
true	to'g'ri	
each	har biri	
supposed	taxmin qilingan	
em	em	
eat	yemoq	
Jack	Jack	
mine	mine	
working	ishlaydigan	
town	shahar	
afraid	qo'rqaman	
drink	ichish	
exactly	aniq	
whatever	whatever	
hurt	zarar	
knows	biladi	
heart	yurak	
gave	berdi	
young	young	
everyone	hamma	
chance	imkoniyat	
read	o'qing	
makes	qiladi	
number	number	
taking	olish	
change	o'zgartirish	
anyway	nima bo'lganda ham	
week	hafta	
married	uylangan	
point	nuqta	
hands	qo'llar	
police	police	
word	so'z	
fun	qiziqarli	
wish	tilak	
bit	bit	
aren	aren	
game	o'yin	
party	ziyofat	
set	o'rnatilgan	
cut	kesilgan	
comes	keladi	
sleep	uxlash	
shot	otilgan	
anybody	hech kim	
ass	eshak	
stand	turish	
water	suv	
boys	bolalar	
trouble	muammo	
dear	azizim	
couple	er-xotin	
gets	oladi	
making	qilish	
eyes	ko'zlar	
break	tanaffus	
story	hikoya	
far	uzoq	
times	marta	
Um	Xm	
close	yaqin	
means	degani	
funny	funny	
goes	ketadi	
lady	xonim	
death	death	
asked	deb so'radi	
walk	yurish	
fire	olov	
hours	soat	
hate	hate	
gun	qurol	
rest	dam olish	
person	shaxs	
inside	ichida	
waiting	kutish	
different	boshqacha	
girls	qizlar	
Captain	Kapitan	
least	kamida	
important	muhim	
Ah	Ah	
also	shuningdek	
line	chiziq	
yours	seniki	
office	office	
dinner	kechki ovqat	
quite	juda	
against	qarshi	
fight	kurash	
side	yon tomon	
six	olti	
half	yarmi	
pick	pick	
question	savol	
ahead	oldinda	
Michael	Maykl	
cool	salqin	
women	ayollar	
body	body	
high	high	
husband	er	
John	Jon	
reason	sabab	
lmost	lmost	
dog	it	
buy	sotib olish	
truth	haqiqat	
met	uchrashdi	
telling	telling	
hot	issiq	
O	O	
anymore	endi	
behind	orqada	
started	boshlandi	
speak	gapirish	
bed	bed	
moment	lahza	
tried	harakat qildi	
blood	blood	
ma	ma	
shall	kerak	
Daddy	Dada	
stupid	ahmoq	
along	birga	
either	yoki	
though	though	
front	old	
sister	opa	
Bye	Alvido	
send	yuborish	
welcome	xush kelibsiz	
sometimes	ba'zan	
trust	ishonch	
free	ozod	
book	kitob	
answer	javob bering	
between	o'rtasida	
children	bolalar	
war	urush	
Hurry	Shoshiling	
fact	haqiqat	
brought	olib keldi	
clear	aniq	
bet	garov	
its	uning	
white	oq	
glad	xursandman	
daughter	qizim	
outside	outside	
city	shahar	
bitch	kaltak	
feeling	tuyg'u	
black	qora	
seems	ko'rinadi	
full	full	
till	qadar	
sick	kasal	
light	yorug'lik	
shoot	otish	
news	Yangiliklar	
lose	lose	
wonderful	wonderful	
months	months	
save	saqlash	
hour	soat	
country	mamlakat	
Jesus	Jesus	
needs	ehtiyojlar	
Wow	Qoyil	
able	qodir	
Frank	Frank	
perfect	mukammal	
shouldn	shouldn	
running	yugurish	
child	bola	
Whoa	Voy	
died	vafot etdi	
order	buyurtma	
living	yashash	
sounds	tovushlar	
alive	alive	
food	ovqat	
gentlemen	janoblar	
luck	omad	
hair	Soch	
drive	drive	
promise	va'da	
sex	sex	
music	music	
